gvkey,tic,conm
061739,HIG,HARTFORD FINANCIAL SERVICES
001380,HES,HESS CORP
022260,HCA,HCA HEALTHCARE INC
020686,SYF,SYNCHRONY FINANCIAL
175319,HBI,HANESBRANDS INC
003226,CMCSA,COMCAST CORP
005786,HBAN,HUNTINGTON BANCSHARES
005518,HAS,HASBRO INC
005439,HAL,HALLIBURTON CO
008007,WFC,WELLS FARGO & CO
005256,GWW,GRAINGER (W W) INC
114628,GS,GOLDMAN SACHS GROUP INC
141459,GRMN,GARMIN LTD
149318,WYNN,WYNN RESORTS LTD
010016,SWK,STANLEY BLACK & DECKER INC
014282,APH,AMPHENOL CORP
141913,GPN,GLOBAL PAYMENTS INC
005125,GPC,GENUINE PARTS CO
160329,GOOGL,ALPHABET INC
183736,GNRC,GENERAC HOLDINGS INC
184500,CBOE,CBOE GLOBAL MARKETS INC
005073,GM,GENERAL MOTORS CO
003532,GLW,CORNING INC
118122,APTV,APTIV PLC
010614,GL,GLOBE LIFE INC
010035,STT,STATE STREET CORP
024856,GILD,GILEAD SCIENCES INC
005047,GE,GENERAL ELECTRIC CO
005046,GD,GENERAL DYNAMICS CORP
026590,FTV,FORTIVE CORP
183377,FTNT,FORTINET INC
004605,FRT,FEDERAL REALTY INVESTMENT TR
014275,FRC,FIRST REPUBLIC BANK
011456,WY,WEYERHAEUSER CO
008272,SRE,SEMPRA ENERGY
064821,ARE,ALEXANDRIA R E EQUITIES INC
149070,CME,CME GROUP INC
004510,FMC,FMC CORP
184700,FLT,FLEETCOR TECHNOLOGIES INC
007163,SPGI,S&P GLOBAL INC
004640,FITB,FIFTH THIRD BANCORP
012635,FISV,FISERV INC
029389,SPG,SIMON PROPERTY GROUP INC
165993,FIS,FIDELITY NATIONAL INFO SVCS
008099,FE,FIRSTENERGY CORP
165914,CMG,CHIPOTLE MEXICAN GRILL INC
014590,FCX,FREEPORT-MCMORAN INC
188255,FBHS,FORTUNE BRANDS HOME & SECUR
005543,WELL,WELLTOWER INC
180405,ATVI,ACTIVISION BLIZZARD INC
170617,FB,META PLATFORMS INC
009850,SO,SOUTHERN CO
014225,FAST,FASTENAL CO
170750,FANG,DIAMONDBACK ENERGY INC
004839,F,FORD MOTOR CO
160479,EXR,EXTRA SPACE STORAGE INC
260774,CBRE,CBRE GROUP INC
126296,EXPE,EXPEDIA GROUP INC
009778,SNA,SNAP-ON INC
004494,EXPD,EXPEDITORS INTL WASH INC
008539,EXC,EXELON CORP
133366,EW,EDWARDS LIFESCIENCES CORP
006338,EVRG,EVERGY INC
010860,AEE,AMEREN CORP
023238,ETSY,ETSY INC
007366,ETR,ENTERGY CORP
001988,BLL,BALL CORP
009465,SLB,SCHLUMBERGER LTD
004199,ETN,EATON CORP PLC
175263,WU,WESTERN UNION CO
029875,AVB,AVALONBAY COMMUNITIES INC
030293,ESS,ESSEX PROPERTY TRUST
007970,ES,EVERSOURCE ENERGY
017120,SIVB,SVB FINANCIAL GROUP
028733,EQR,EQUITY RESIDENTIAL
002086,BAX,BAXTER INTERNATIONAL INC
138743,EQIX,EQUINIX INC
016478,EOG,EOG RESOURCES INC
011550,WEC,WEC ENERGY GROUP INC
187450,ENPH,ENPHASE ENERGY INC
029392,EMN,EASTMAN CHEMICAL CO
009667,SHW,SHERWIN-WILLIAMS CO
001913,AVY,AVERY DENNISON CORP
009846,EIX,EDISON INTERNATIONAL
004423,EFX,EQUIFAX INC
009555,SEE,SEALED AIR CORP
003413,ED,CONSOLIDATED EDISON INC
004213,ECL,ECOLAB INC
013988,SCHW,SCHWAB (CHARLES) CORP
179437,AWK,AMERICAN WATER WORKS CO INC
114524,EBAY,EBAY INC
003650,CMI,CUMMINS INC
162887,DXCM,DEXCOM INC
014934,DVN,DEVON ENERGY CORP
061483,DVA,DAVITA INC
004093,DUK,DUKE ENERGY CORP
003897,DTE,DTE ENERGY CO
001440,AEP,AMERICAN ELECTRIC POWER CO
003439,CMS,CMS ENERGY CORP
013510,DRE,DUKE REALTY CORP
015417,BRO,BROWN & BROWN INC
160211,DPZ,DOMINO'S PIZZA INC
034443,DOW,DOW INC
004058,DOV,DOVER CORP
160991,DLR,DIGITAL REALTY TRUST INC
121382,SBAC,SBA COMMUNICATIONS CORP
001447,AXP,AMERICAN EXPRESS CO
010983,RTX,RAYTHEON TECHNOLOGIES CORP
060900,DISH,DISH NETWORK CORP
003735,DHR,DANAHER CORP
064925,BXP,BOSTON PROPERTIES INC
145552,CNC,CENTENE CORP
064166,DGX,QUEST DIAGNOSTICS INC
112168,RSG,REPUBLIC SERVICES INC
177376,DFS,DISCOVER FINANCIAL SVCS
005742,CNP,CENTERPOINT ENERGY INC
004060,DD,DUPONT DE NEMOURS INC
003851,DAL,DELTA AIR LINES INC
004029,D,DOMINION ENERGY INC
113490,CCI,CROWN CASTLE INTL CORP
021808,CZR,CAESARS ENTERTAINMENT INC
024925,ROP,ROPER TECHNOLOGIES INC
002991,CVX,CHEVRON CORP
001045,AAL,AMERICAN AIRLINES GROUP INC
002285,BA,BOEING CO
007241,CVS,CVS HEALTH CORP
009225,ROL,ROLLINS INC
061676,CTXS,CITRIX SYSTEMS INC
035168,CTVA,CORTEVA INC
111864,CTSH,COGNIZANT TECH SOLUTIONS
124434,BLK,BLACKROCK INC
020548,CTRA,COTERRA ENERGY INC
002574,CSX,CSX CORP
024216,AES,AES CORP (THE)
030990,COF,CAPITAL ONE FINANCIAL CORP
137131,CRL,CHARLES RIVER LABS INTL INC
007647,BAC,BANK OF AMERICA CORP
008549,COP,CONOCOPHILLIPS
002312,RHI,ROBERT HALF INTL INC
004674,RF,REGIONS FINANCIAL CORP
016101,ABBV,ABBVIE INC
061574,WAT,WATERS CORP
023812,REGN,REGENERON PHARMACEUTICALS
029099,REG,REGENCY CENTERS CORP
060979,WAB,WABTEC CORP
061388,RE,EVEREST RE GROUP LTD
028191,RCL,ROYAL CARIBBEAN GROUP
002136,VZ,VERIZON COMMUNICATIONS INC
023546,CDAY,CERIDIAN HCM HOLDING
024405,ZBRA,ZEBRA TECHNOLOGIES CP  -CL A
007637,VTRS,VIATRIS INC
001449,AFL,AFLAC INC
024616,PYPL,PAYPAL HOLDINGS INC
014359,PXD,PIONEER NATURAL RESOURCES CO
028742,BWA,BORGWARNER INC
066446,PWR,QUANTA SERVICES INC
110179,VTR,VENTAS INC
013421,CDNS,CADENCE DESIGN SYSTEMS INC
170841,PSX,PHILLIPS 66
010096,PSA,PUBLIC STORAGE
143356,PRU,PRUDENTIAL FINANCIAL INC
032106,BKR,BAKER HUGHES CO
008455,PPL,PPL CORP
024344,VRTX,VERTEX PHARMACEUTICALS INC
008247,PPG,PPG INDUSTRIES INC
061420,POOL,POOL CORP
002176,BRK.B,BERKSHIRE HATHAWAY
001075,PNW,PINNACLE WEST CAPITAL CORP
066368,VRSN,VERISIGN INC
008463,PNR,PENTAIR PLC
001487,AIG,AMERICAN INTERNATIONAL GROUP
008245,PNC,PNC FINANCIAL SVCS GROUP INC
119314,BKNG,BOOKING HOLDINGS INC
180652,VRSK,VERISK ANALYTICS INC
